id,name,born,unique_category,unique_year,gender,country_name
1,Wilhelm Conrad Röntgen,1845-03-27,physics,1901,male,Württemberg
2,Hendrik A. Lorentz,1853-07-18,physics,1902,male,the Netherlands
3,Pieter Zeeman,1865-05-25,physics,1902,male,the Netherlands
4,Henri Becquerel,1852-12-15,physics,1903,male,France
5,Pierre Curie,1859-05-15,physics,1903,male,France
6,Marie Curie,1867-11-07,physics;chemistry,1903;1911,female,Prussia
8,Lord Rayleigh,1842-11-12,physics,1904,male,United Kingdom
9,Philipp Lenard,1862-06-07,physics,1905,male,Slovakia
10,J.J. Thomson,1856-12-18,physics,1906,male,United Kingdom
11,Albert A. Michelson,1852-12-19,physics,1907,male,Prussia
12,Gabriel Lippmann,1845-08-16,physics,1908,male,Luxembourg
13,Guglielmo Marconi,1874-04-25,physics,1909,male,Tuscany
14,Ferdinand Braun,1850-06-06,physics,1909,male,Württemberg
15,Johannes Diderik van der Waals,1837-11-23,physics,1910,male,the Netherlands
16,Wilhelm Wien,1864-01-13,physics,1911,male,USSR
17,Gustaf Dalén,1869-11-30,physics,1912,male,Sweden
18,Heike Kamerlingh Onnes,1853-09-21,physics,1913,male,the Netherlands
19,Max von Laue,1879-10-09,physics,1914,male,Württemberg
20,William Bragg,1862-07-02,physics,1915,male,United Kingdom
21,Lawrence Bragg,1890-03-31,physics,1915,male,Australia
22,Charles Glover Barkla,1877-06-07,physics,1917,male,United Kingdom
23,Max Planck,1858-04-23,physics,1918,male,Württemberg
24,Johannes Stark,1874-04-15,physics,1919,male,Württemberg
25,Charles Edouard Guillaume,1861-02-15,physics,1920,male,Switzerland
26,Albert Einstein,1879-03-14,physics,1921,male,Württemberg
27,Niels Bohr,1885-10-07,physics,1922,male,Faroe Islands (Denmark)
28,Robert A. Millikan,1868-03-22,physics,1923,male,USA
29,Manne Siegbahn,1886-12-03,physics,1924,male,Sweden
30,James Franck,1882-08-26,physics,1925,male,Württemberg
31,Gustav Hertz,1887-07-22,physics,1925,male,Württemberg
32,Jean Baptiste Perrin,1870-09-30,physics,1926,male,France
33,Arthur H. Compton,1892-09-10,physics,1927,male,USA
34,C.T.R. Wilson,1869-02-14,physics,1927,male,United Kingdom
35,Owen Willans Richardson,1879-04-26,physics,1928,male,United Kingdom
36,Louis de Broglie,1892-08-15,physics,1929,male,France
37,Sir Chandrasekhara Venkata Raman,1888-11-07,physics,1930,male,India
38,Werner Heisenberg,1901-12-05,physics,1932,male,Württemberg
39,Erwin Schrödinger,1887-08-12,physics,1933,male,Austria
40,Paul A.M. Dirac,1902-08-08,physics,1933,male,United Kingdom
41,James Chadwick,1891-10-20,physics,1935,male,United Kingdom
42,Victor F. Hess,1883-06-24,physics,1936,male,Austria
43,Carl D. Anderson,1905-09-03,physics,1936,male,USA
44,Clinton Davisson,1881-10-22,physics,1937,male,USA
45,George Paget Thomson,1892-05-03,physics,1937,male,United Kingdom
46,Enrico Fermi,1901-09-29,physics,1938,male,Tuscany
47,Ernest Lawrence,1901-08-08,physics,1939,male,USA
48,Otto Stern,1888-02-17,physics,1943,male,Prussia
49,Isidor Isaac Rabi,1898-07-29,physics,1944,male,Prussia
50,Wolfgang Pauli,1900-04-25,physics,1945,male,Austria
51,Percy W. Bridgman,1882-04-21,physics,1946,male,USA
52,Edward V. Appleton,1892-09-06,physics,1947,male,United Kingdom
53,Patrick M.S. Blackett,1897-11-18,physics,1948,male,United Kingdom
54,Hideki Yukawa,1907-01-23,physics,1949,male,Japan
55,Cecil Powell,1903-12-05,physics,1950,male,United Kingdom
56,John Cockcroft,1897-05-27,physics,1951,male,United Kingdom
57,Ernest T.S. Walton,1903-10-06,physics,1951,male,Ireland
58,Felix Bloch,1905-10-23,physics,1952,male,Switzerland
59,E. M. Purcell,1912-08-30,physics,1952,male,USA
60,Frits Zernike,1888-07-16,physics,1953,male,the Netherlands
61,Max Born,1882-12-11,physics,1954,male,Prussia
62,Walther Bothe,1891-01-08,physics,1954,male,Württemberg
63,Willis E. Lamb,1913-07-12,physics,1955,male,USA
64,Polykarp Kusch,1911-01-26,physics,1955,male,Württemberg
65,William B. Shockley,1910-02-13,physics,1956,male,United Kingdom
66,John Bardeen,1908-05-23,physics;physics,1956;1972,male,USA
67,Walter H. Brattain,1902-02-10,physics,1956,male,Tibet
68,Chen Ning Yang,1922-09-22,physics,1957,male,Tibet
69,Tsung-Dao Lee,1926-11-24,physics,1957,male,Tibet
70,Pavel A. Cherenkov,1904-07-28,physics,1958,male,USSR
